cidade;datetime;n_alertas;risco;regras;acao
Lisboa;05/09/25 01:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 02:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 03:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 04:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 05:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 06:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 07:00;1;ALTO;R04_PM25_ALTO;Grupos sensiveis permanecam em ambientes internos. Usar mascara FFP2 se necessario.
Lisboa;05/09/25 08:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 09:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 10:00;1;ALTO;R04_PM25_ALTO;Grupos sensiveis permanecam em ambientes internos. Usar mascara FFP2 se necessario.
Lisboa;05/09/25 11:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 12:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 13:00;1;ALTO;R04_PM25_ALTO;Grupos sensiveis permanecam em ambientes internos. Usar mascara FFP2 se necessario.
Lisboa;05/09/25 14:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 15:00;1;ALTO;R04_PM25_ALTO;Grupos sensiveis permanecam em ambientes internos. Usar mascara FFP2 se necessario.
Lisboa;05/09/25 16:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 17:00;1;ALTO;R04_PM25_ALTO;Grupos sensiveis permanecam em ambientes internos. Usar mascara FFP2 se necessario.
Lisboa;05/09/25 18:00;1;ALTO;R04_PM25_ALTO;Grupos sensiveis permanecam em ambientes internos. Usar mascara FFP2 se necessario.
Lisboa;05/09/25 19:00;1;ALTO;R04_PM25_ALTO;Grupos sensiveis permanecam em ambientes internos. Usar mascara FFP2 se necessario.
Lisboa;05/09/25 20:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 21:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 22:00;0;NORMAL;;Sem ação necessária.
Lisboa;05/09/25 23:00;0;NORMAL;;Sem ação necessária.
